Date,Device Category,Browser,# of Visitors,Sessions,Bounce Rate
2014-01-01T00:00:00.000,desktop,Chrome,900,934,55.5675
2014-01-01T00:00:00.000,desktop,Firefox,692,761,40.8673
2014-01-01T00:00:00.000,desktop,Internet Explorer,1038,1107,31.2556
2014-01-01T00:00:00.000,desktop,Opera,35,35,100
2014-01-01T00:00:00.000,desktop,Safari,484,554,24.9097
2014-01-01T00:00:00.000,mobile,Android Browser,242,311,89.0675
2014-01-01T00:00:00.000,mobile,Chrome,242,242,71.4876
2014-01-01T00:00:00.000,mobile,Internet Explorer,35,35,100
2014-01-01T00:00:00.000,mobile,Safari,969,1038,60.0193
2014-01-01T00:00:00.000,mobile,Safari (in-app),35,35,100
2014-01-01T00:00:00.000,tablet,Amazon Silk,35,35,100
2014-01-01T00:00:00.000,tablet,Android Browser,35,35,100
2014-01-01T00:00:00.000,tablet,Safari,208,242,28.5124
2014-01-02T00:00:00.000,desktop,Chrome,2076,2318,46.2899
2014-01-02T00:00:00.000,desktop,Firefox,969,1003,65.5035
2014-01-02T00:00:00.000,desktop,IE with Chrome Frame,35,35,0
2014-01-02T00:00:00.000,desktop,Internet Explorer,2837,3183,45.6488
2014-01-02T00:00:00.000,desktop,Safari,934,1038,26.6859
2014-01-02T00:00:00.000,mobile,Android Browser,381,692,75
2014-01-02T00:00:00.000,mobile,BlackBerry,35,69,0
2014-01-02T00:00:00.000,mobile,Chrome,104,104,100
2014-01-02T00:00:00.000,mobile,Safari,1003,1038,46.6281
2014-01-02T00:00:00.000,mobile,Safari (in-app),104,104,100
2014-01-02T00:00:00.000,mobile,UC Browser,35,35,0
2014-01-02T00:00:00.000,tablet,Android Browser,35,35,100
2014-01-02T00:00:00.000,tablet,Chrome,173,208,50
2014-01-02T00:00:00.000,tablet,Safari,450,450,53.7778
2014-01-03T00:00:00.000,desktop,Chrome,1869,2007,65.5207
2014-01-03T00:00:00.000,desktop,Firefox,934,1003,58.6241
